Name
abusaidm.html-snippets
brpaz.file-templates
christian-kohler.path-intellisense
eamodio.gitlens
EditorConfig.EditorConfig
eg2.tslint
esbenp.prettier-vscode
formulahendry.auto-close-tag
formulahendry.auto-rename-tag
formulahendry.code-runner
icsharpcode.ilspy-vscode
Leopotam.csharpfixformat
ms-vscode.csharp
ms-vscode.PowerShell
ms-vscode.sublime-keybindings
ms-vsliveshare.vsliveshare
msjsdiag.debugger-for-chrome
octref.vetur
pranaygp.vscode-css-peek
quicktype.quicktype
streetsidesoftware.code-spell-checker
thekalinga.bootstrap4-vscode
xabikos.JavaScriptSnippets
